COST,2014-01-02,118.70999908447266,119.30000305175781,117.73999786376953,117.80999755859375,1618400,94.7809829711914
COST,2014-01-03,118.20999908447266,118.36000061035156,117.12999725341797,117.29000091552734,1293500,94.36261749267578
COST,2014-01-06,117.48999786376953,117.75,115.88999938964844,116.4000015258789,2120200,93.646575927734375
COST,2014-01-07,116.38999938964844,116.55999755859375,115.37999725341797,115.86000061035156,2292500,93.21215057373047
COST,2014-01-08,116.04000091552734,116.04000091552734,113.91999816894531,114.05000305175781,4600000,91.7559814453125
COST,2014-01-09,116.19999694824219,119.0999984741211,114.05000305175781,118.51000213623047,5759400,95.344146728515625
COST,2014-01-10,118.19999694824219,118.6500015258789,116.66000366210938,117.8499984741211,2790200,94.8131332397461
COST,2014-01-13,117.05999755859375,117.52999877929688,114.58000183105469,114.7699966430664,3164200,92.33522033691406
COST,2014-01-14,115.19999694824219,116.83000183105469,115.12000274658203,116.2300033569336,2320600,93.50983428955078
COST,2014-01-15,116.06999969482422,116.69000244140625,115.25,116.23999786376953,1847500,93.5178451538086
COST,2014-01-16,116.44000244140625,116.47000122070313,115.30000305175781,115.55999755859375,1938200,92.97081756591797
COST,2014-01-17,115.5999984741211,116.61000061035156,115.43000030517578,116.29000091552734,2708100,93.55810546875
COST,2014-01-21,115.61000061035156,116.11000061035156,114.83999633789063,114.93000030517578,2110800,92.46392822265625
COST,2014-01-22,115.01000213623047,115.16000366210938,113.69000244140625,113.75,2501600,91.514617919921875
COST,2014-01-23,113.5,113.52999877929688,112.4000015258789,112.80000305175781,2162300,90.75030517578125
COST,2014-01-24,112.69000244140625,112.87000274658203,111.91999816894531,112.12999725341797,3183100,90.211273193359375
COST,2014-01-27,112.55999755859375,113.7300033569336,112.02999877929688,113.08000183105469,3784900,90.97557067871094
COST,2014-01-28,113.52999877929688,114.76000213623047,113.44000244140625,114.37999725341797,2362100,92.02144622802734
COST,2014-01-29,114.05000305175781,114.19000244140625,112.11000061035156,112.2300033569336,2356000,90.291748046875
COST,2014-01-30,112.75,113.48999786376953,112.08999633789063,112.7300033569336,1625800,90.694000244140625
COST,2014-01-31,111.29000091552734,113.27999877929688,111.12999725341797,112.36000061035156,2143600,90.39631652832031
COST,2014-02-03,112.95999908447266,113,110.05000305175781,110.18000030517578,3111900,88.6424789428711
COST,2014-02-04,110.7300033569336,111.33000183105469,109.5,110.88999938964844,2529600,89.21368408203125
COST,2014-02-05,110.22000122070313,110.80000305175781,109.80000305175781,110.51000213623047,2374200,88.90795135498047
COST,2014-02-06,113.01000213623047,114.58000183105469,113,114.26000213623047,3738900,91.92491912841797
COST,2014-02-07,114.08000183105469,114.61000061035156,113.37999725341797,114.04000091552734,2194100,91.74791717529297
COST,2014-02-10,114.04000091552734,114.0999984741211,112.58000183105469,113.8499984741211,1871700,91.59505462646484
COST,2014-02-11,113.91000366210938,115.1500015258789,113.5,114.98999786376953,1768900,92.512176513671875
COST,2014-02-12,114.87999725341797,115.43000030517578,114.30000305175781,114.80999755859375,1737700,92.61705780029297
COST,2014-02-13,114.13999938964844,115.93000030517578,114.13999938964844,115.80999755859375,1583300,93.423797607421875
COST,2014-02-14,115.16000366210938,116.48999786376953,114.5,116.0999984741211,1517900,93.657745361328125
COST,2014-02-18,116.30000305175781,116.41000366210938,114.91999816894531,115.36000061035156,2056500,93.0607681274414
COST,2014-02-19,115.11000061035156,115.30000305175781,114.2699966430664,114.91000366210938,1802600,92.69776153564453
COST,2014-02-20,114.56999969482422,115.55000305175781,113.87999725341797,115.05999755859375,1837100,92.818756103515625
COST,2014-02-21,115.4000015258789,115.48999786376953,112.91999816894531,113.19000244140625,3654300,91.31021881103516
COST,2014-02-24,113.45999908447266,114.80999755859375,113.19999694824219,113.94000244140625,2281900,91.91526794433594
COST,2014-02-25,114,115.88999938964844,114,115.45999908447266,1920800,93.14144134521484
COST,2014-02-26,115.5,116.83000183105469,115.37000274658203,115.87999725341797,1924500,93.480255126953125
COST,2014-02-27,116.02999877929688,116.41999816894531,115.27999877929688,116.22000122070313,1374400,93.7545166015625
COST,2014-02-28,116.5,117.47000122070313,115.88999938964844,116.80000305175781,2103000,94.222412109375
COST,2014-03-03,116.22000122070313,117.06999969482422,115.11000061035156,115.75,1667000,93.37538146972656
COST,2014-03-04,116.61000061035156,116.91000366210938,115.8499984741211,116.6500015258789,1808300,94.10140228271484
COST,2014-03-05,116.56999969482422,116.94999694824219,115.80999755859375,116.47000122070313,2305700,93.95623016357422
COST,2014-03-06,113.1500015258789,114.63999938964844,112.2699966430664,113.26000213623047,8921900,91.36671447753906
COST,2014-03-07,113.80000305175781,114.01000213623047,113.13999938964844,113.5,2905600,91.5602798461914
COST,2014-03-10,113.20999908447266,114.58999633789063,113,114.58999633789063,2319100,92.43961334228516
COST,2014-03-11,114.55999755859375,114.75,113.91999816894531,114.70999908447266,2201800,92.536407470703125
COST,2014-03-12,114.38999938964844,115.62000274658203,114.25,115.20999908447266,2173400,92.93976593017578
COST,2014-03-13,115.66000366210938,115.79000091552734,114.19000244140625,114.41000366210938,2519600,92.29442596435547
COST,2014-03-14,114.94999694824219,114.94999694824219,113.33000183105469,113.44999694824219,2290000,91.51997375488281
COST,2014-03-17,114.13999938964844,114.45999908447266,113.38999938964844,113.45999908447266,2189200,91.5280532836914
COST,2014-03-18,113.9000015258789,114.12000274658203,113.0199966430664,113.8499984741211,2501000,91.84264373779297
COST,2014-03-19,113.54000091552734,114.25,112.45999908447266,112.8499984741211,1635600,91.03594970703125
