symbol,desc,group,dt,pproc,method,zscore
1OK24,May Oats,actual,h,none,mstl2,1.1851
1OK24,May Oats,actual,l,none,zlma1,1.1852
1OK24,May Oats,actual,c,none,zlma1,1.1669
1OK24,May Oats,actual,m,none,mstl1,1.1975
