symbol,desc,group,dt,pproc,method,zscore
1CK24,May Corn,actual,h,none,zlma3,1.0371
1CK24,May Corn,actual,l,none,mstl2,1.1394
1CK24,May Corn,actual,c,none,zlma2,1.0958
1CK24,May Corn,actual,m,none,zlma2,1.1541
