symbol,desc,group,dt,pproc,method,zscore
NVDA,NVidia,actual,h,none,mstl1,1.0692
NVDA,NVidia,actual,l,none,zlma1,1.0866
NVDA,NVidia,actual,c,none,zlma2,1.1277
NVDA,NVidia,actual,m,none,zlma3,1.0505
