symbol,desc,group,dt,pproc,method,zscore
META,Meta,actual,h,none,mstl3,0.9548
META,Meta,actual,l,none,mstl3,0.9647
META,Meta,actual,c,none,mstl3,0.9286
META,Meta,actual,m,none,mstl1,0.9482
