symbol,desc,group,dt,pproc,method,zscore
1WK24,May Wheat,actual,h,none,mstl2,1.1584
1WK24,May Wheat,actual,l,none,mstl2,1.1113
1WK24,May Wheat,actual,c,none,mstl1,1.1414
1WK24,May Wheat,actual,m,none,mstl1,1.1149
