symbol,desc,group,dt,pproc,method,zscore
SMCI,Sup Mic Comp,actual,h,none,zlma2,1.0734
SMCI,Sup Mic Comp,actual,l,none,zlma3,1.0665
SMCI,Sup Mic Comp,actual,c,none,zlma1,1.1218
SMCI,Sup Mic Comp,actual,m,none,zlma1,1.0733
